소속,종목코드,종목명,현재가,시가총액(억),PER,ROE,PER순위,ROE순위,순위합산,종합순위,종목그래프
KOSPI,'027410,BGF,8200,7820,0.11,428.57,1,1,2,1,https://finance.naver.com/item/main.nhn?code=027410
KOSDAQ,'054620,APS홀딩스,4535,925,0.11,348.19,2,2,4,2,https://finance.naver.com/item/main.nhn?code=054620
KOSPI,'002620,제일파마홀딩스,29600,1286,0.5,249.63,5,3,8,3,https://finance.naver.com/item/main.nhn?code=002620
KOSDAQ,'088390,이녹스,8720,815,0.41,115.54,3,5,8,4,https://finance.naver.com/item/main.nhn?code=088390
KOSPI,'001800,오리온홀딩스,17150,10743,0.49,85.88,4,8,12,5,https://finance.naver.com/item/main.nhn?code=001800
KOSPI,'128820,대성산업,4335,1961,0.62,73.02,6,13,19,6,https://finance.naver.com/item/main.nhn?code=128820
KOSDAQ,'090470,제이스텍,6250,912,1.23,79.98,11,9,20,7,https://finance.naver.com/item/main.nhn?code=090470
KOSPI,'102280,쌍방울,1015,1311,0.91,60.32,8,19,27,8,https://finance.naver.com/item/main.nhn?code=102280
KOSPI,'005740,크라운해태홀딩스,11650,1730,0.84,58.11,7,23,30,9,https://finance.naver.com/item/main.nhn?code=005740
KOSPI,'192400,쿠쿠홀딩스,140000,9957,2.95,96.96,24,7,31,10,https://finance.naver.com/item/main.nhn?code=192400
KOSPI,'006120,SK디스커버리,29550,5626,1.03,53.99,9,26,35,11,https://finance.naver.com/item/main.nhn?code=006120
KOSDAQ,'191410,육일씨엔에쓰,3450,323,2.15,59.74,15,21,36,12,https://finance.naver.com/item/main.nhn?code=191410
KOSDAQ,'078070,유비쿼스홀딩스,6440,1204,1.13,51.78,10,28,38,13,https://finance.naver.com/item/main.nhn?code=078070
KOSDAQ,'121800,비덴트,10250,2572,2.99,68.9,25,14,39,14,https://finance.naver.com/item/main.nhn?code=121800
KOSDAQ,'069920,아이에스이커머스,4200,1072,3.18,60.93,28,17,45,15,https://finance.naver.com/item/main.nhn?code=069920
KOSDAQ,'108230,톱텍,11750,4324,2.89,57.85,22,24,46,16,https://finance.naver.com/item/main.nhn?code=108230
KOSDAQ,'215000,골프존,34200,2146,2.71,51.19,21,30,51,17,https://finance.naver.com/item/main.nhn?code=215000
KOSPI,'005960,동부건설,7170,1496,1.57,34.56,12,54,66,18,https://finance.naver.com/item/main.nhn?code=005960
KOSDAQ,'264660,씨앤지하이테크,9620,404,3.32,40.14,35,43,78,19,https://finance.naver.com/item/main.nhn?code=264660
KOSDAQ,'011370,서한,1845,1862,2.4,31.06,18,67,85,20,https://finance.naver.com/item/main.nhn?code=011370
KOSDAQ,'046110,한일네트웍스,4645,555,3.33,33.4,36,57,93,21,https://finance.naver.com/item/main.nhn?code=046110
KOSDAQ,'241770,메카로,16100,1607,4.01,44.76,70,36,106,22,https://finance.naver.com/item/main.nhn?code=241770
KOSPI,'000650,천일고속,84400,1206,4.45,63.04,91,16,107,23,https://finance.naver.com/item/main.nhn?code=000650
KOSDAQ,'063760,이엘피,13900,682,4.04,40.41,72,42,114,24,https://finance.naver.com/item/main.nhn?code=063760
KOSDAQ,'057500,SKC 솔믹스,3070,1888,4.79,75.55,110,11,121,25,https://finance.naver.com/item/main.nhn?code=057500
KOSDAQ,'043150,바텍,23150,3439,4.35,46.14,88,33,121,26,https://finance.naver.com/item/main.nhn?code=043150
KOSDAQ,'123840,한일진공,1320,726,2.26,26.05,16,105,121,27,https://finance.naver.com/item/main.nhn?code=123840
KOSPI,'003490,대한항공,32400,30730,3.75,29.37,51,76,127,28,https://finance.naver.com/item/main.nhn?code=003490
KOSDAQ,'900310,컬러레이,2045,1104,3.96,31.18,67,65,132,29,https://finance.naver.com/item/main.nhn?code=900310
KOSDAQ,'123100,원익테라세미콘,15700,1775,4.11,31.07,75,66,141,30,https://finance.naver.com/item/main.nhn?code=123100
KOSPI,'004960,한신공영,15850,1834,2.32,23.64,17,129,146,31,https://finance.naver.com/item/main.nhn?code=004960
KOSDAQ,'066360,체리부로,2740,764,3.25,24.63,32,118,150,32,https://finance.naver.com/item/main.nhn?code=066360
KOSPI,'123890,한국자산신탁,4705,4834,3.85,27.12,58,94,152,33,https://finance.naver.com/item/main.nhn?code=123890
KOSPI,'008040,사조동아원,1215,1715,3.76,26.41,52,102,154,34,https://finance.naver.com/item/main.nhn?code=008040
KOSDAQ,'238490,힘스,11700,626,4.48,32.53,95,60,155,35,https://finance.naver.com/item/main.nhn?code=238490
KOSDAQ,'083450,GST,4745,442,2.89,23.25,23,134,157,36,https://finance.naver.com/item/main.nhn?code=083450
KOSPI,'014440,영보화학,3600,720,2.46,23.16,19,138,157,37,https://finance.naver.com/item/main.nhn?code=014440
KOSPI,'020560,아시아나항공,4505,9246,3.67,24.66,46,116,162,38,https://finance.naver.com/item/main.nhn?code=020560
KOSPI,'034830,한국토지신탁,2525,6375,3.81,25.66,56,111,167,39,https://finance.naver.com/item/main.nhn?code=034830
KOSPI,'000660,SK하이닉스,71900,523434,4.92,36.8,121,48,169,40,https://finance.naver.com/item/main.nhn?code=000660
KOSDAQ,'095610,테스,13500,2669,4.87,32.17,115,61,176,41,https://finance.naver.com/item/main.nhn?code=095610
KOSDAQ,'089030,테크윙,9550,1798,4.56,29.18,99,80,179,42,https://finance.naver.com/item/main.nhn?code=089030
KOSPI,'001880,삼호,14400,2186,3.38,22.24,39,146,185,43,https://finance.naver.com/item/main.nhn?code=001880
KOSDAQ,'083310,엘오티베큠,7890,1046,4.27,26.09,83,103,186,44,https://finance.naver.com/item/main.nhn?code=083310
KOSPI,'010400,우진아이엔에스,10950,835,3.97,24.62,68,119,187,45,https://finance.naver.com/item/main.nhn?code=010400
